iter	Passed	Remaining
477	682	745
478	683	743
479	684	742
480	686	740
481	687	738
482	689	737
483	689	735
484	690	733
485	692	732
486	693	730
487	695	729
488	696	727
489	697	726
490	699	724
491	700	723
492	701	721
493	703	720
494	704	718
495	705	717
496	707	715
497	708	714
498	709	712
499	711	711
500	712	709
501	713	708
502	715	706
503	716	705
504	717	703
505	719	701
506	720	700
507	721	698
508	722	697
509	724	695
510	725	694
511	726	692
512	728	691
513	729	689
514	730	688
515	732	686
516	733	685
517	734	683
518	736	682
519	737	680
520	738	679
521	740	677
522	741	676
523	742	674
524	744	673
525	745	671
526	746	670
527	748	668
528	749	667
529	750	665
530	752	664
531	753	662
532	754	661
533	755	659
534	757	658
535	758	656
536	760	655
537	761	653
538	762	652
539	764	650
540	765	649
541	766	647
542	768	646
543	768	644
544	770	642
545	771	641
546	772	640
547	774	638
548	775	637
549	776	635
550	778	634
551	779	632
552	781	631
553	782	630
554	783	628
555	785	627
556	787	625
557	788	624
558	789	623
559	807	634
560	841	658
561	842	656
562	844	655
563	845	653
564	846	651
565	852	653
566	855	653
567	857	652
568	858	650
569	860	648
570	861	647
571	862	645
572	864	643
573	865	642
574	866	640
575	868	639
576	869	637
577	870	635
578	872	634
579	873	632
580	874	631
581	876	629
582	877	627
583	879	626
584	880	624
585	881	623
586	883	621
587	884	619
588	885	618
589	887	616
590	888	614
591	889	613
592	891	611
593	892	610
594	894	608
595	895	606
596	896	605
597	898	603
598	899	602
599	900	600
600	902	598
601	903	597
602	904	595
603	906	594
604	907	592
605	908	590
606	910	589
607	911	587
608	911	585
609	913	583
610	914	582
611	915	580
612	917	579
613	918	577
614	919	575
615	921	574
616	922	572
617	923	570
618	925	569
619	926	567
620	927	566
621	928	564
622	930	562
623	931	561
624	932	559
625	934	558
626	935	556
627	936	554
628	938	553
629	939	551
630	940	550
631	942	548
632	943	546
633	944	545
634	946	543
635	947	542
636	948	540
637	950	539
638	951	537
639	952	535
640	953	534
641	955	532
642	956	531
643	957	529
644	959	527
645	960	526
646	961	524
647	963	523
648	964	521
649	965	520
650	967	518
651	968	516
652	969	515
653	971	513
654	972	512
655	973	510
656	975	509
657	976	507
658	977	505
659	979	504
660	980	502
661	981	501
662	982	499
663	984	498
664	985	496
665	987	494
666	988	493
667	989	491
668	990	490
669	992	488
670	993	487
671	994	485
672	995	483
673	997	482
674	997	480
675	999	478
676	1000	477
677	1001	475
678	1003	474
679	1004	472
680	1005	471
681	1006	469
682	1008	467
683	1009	466
684	1010	464
685	1012	463
686	1013	461
687	1014	460
688	1016	458
689	1017	457
690	1018	455
691	1019	453
692	1020	452
693	1022	450
694	1023	449
695	1024	447
696	1026	446
697	1027	444
698	1028	443
699	1030	441
700	1031	439
701	1032	438
702	1033	436
703	1034	435
704	1036	433
705	1037	432
706	1038	430
707	1039	428
708	1041	427
709	1042	425
710	1043	424
711	1045	422
712	1046	421
713	1047	419
714	1048	417
715	1049	416
716	1051	414
717	1052	413
718	1054	411
719	1055	410
720	1056	408
721	1057	407
722	1059	405
723	1060	404
724	1062	402
725	1063	401
726	1065	399
727	1066	398
728	1068	397
729	1069	395
730	1070	394
731	1072	392
732	1073	391
733	1075	389
734	1076	388
735	1077	386
736	1079	385
737	1080	383
738	1082	382
739	1083	380
740	1085	379
741	1086	377
742	1087	376
743	1089	374
744	1090	373
745	1091	371
746	1093	370
747	1094	368
748	1096	367
749	1097	365
750	1098	364
751	1100	362
752	1102	361
753	1103	359
754	1104	358
755	1105	356
756	1107	355
757	1108	353
758	1109	352
759	1110	350
760	1111	349
761	1113	347
762	1114	346
763	1115	344
764	1117	343
765	1118	341
766	1119	340
767	1121	338
768	1122	337
769	1123	335
770	1125	334
771	1126	332
772	1127	331
773	1128	329
774	1130	328
775	1131	326
776	1132	325
777	1134	323
778	1135	322
779	1136	320
780	1138	319
781	1139	317
782	1140	316
783	1141	314
784	1143	313
785	1144	311
786	1146	310
787	1147	308
788	1148	307
789	1149	305
790	1151	304
791	1152	302
792	1153	301
793	1155	299
794	1156	298
795	1158	296
796	1160	295
797	1161	294
798	1163	292
799	1164	291
800	1165	289
801	1167	288
802	1168	286
803	1170	285
804	1171	283
805	1171	282
806	1173	280
807	1174	279
808	1175	277
809	1177	276
810	1178	274
811	1179	273
812	1180	271
813	1182	270
814	1183	268
815	1185	267
816	1186	265
817	1187	264
818	1188	262
819	1190	261
820	1191	259
821	1192	258
822	1193	256
823	1195	255
824	1196	253
825	1198	252
826	1199	250
827	1200	249
828	1202	247
829	1203	246
830	1204	245
831	1206	243
832	1207	242
833	1208	240
834	1209	239
835	1211	237
836	1212	236
837	1213	234
838	1215	233
839	1216	231
840	1217	230
841	1219	228
842	1220	227
843	1221	225
844	1223	224
845	1224	222
846	1225	221
847	1226	219
848	1227	218
849	1229	216
850	1230	215
851	1231	213
852	1232	212
853	1234	211
854	1235	209
855	1236	208
856	1238	206
857	1239	205
858	1240	203
859	1241	202
860	1242	200
861	1244	199
862	1245	197
863	1246	196
864	1248	194
865	1249	193
866	1250	191
867	1252	190
868	1253	188
869	1254	187
870	1256	186
871	1257	184
872	1258	183
873	1260	181
874	1261	180
875	1262	178
876	1264	177
877	1265	175
878	1266	174
879	1266	172
880	1268	171
881	1269	169
882	1270	168
883	1272	166
884	1273	165
885	1274	164
886	1276	162
887	1277	161
888	1278	159
889	1280	158
890	1281	156
891	1282	155
892	1283	153
893	1285	152
894	1286	150
895	1287	149
896	1289	148
897	1290	146
898	1291	145
899	1293	143
900	1294	142
901	1295	140
902	1297	139
903	1298	137
904	1299	136
905	1301	135
906	1302	133
907	1303	132
908	1305	130
909	1306	129
910	1307	127
911	1308	126
912	1310	124
913	1311	123
914	1312	121
915	1314	120
916	1315	119
917	1316	117
918	1318	116
919	1319	114
920	1320	113
921	1322	111
922	1323	110
923	1325	108
924	1326	107
925	1327	106
926	1328	104
927	1329	103
928	1331	101
929	1332	100
930	1333	98
931	1335	97
932	1336	95
933	1337	94
934	1339	93
935	1340	91
936	1342	90
937	1343	88
938	1344	87
939	1346	85
940	1347	84
941	1348	83
942	1350	81
943	1351	80
944	1352	78
945	1354	77
946	1355	75
947	1356	74
948	1358	72
949	1359	71
950	1360	70
951	1362	68
952	1363	67
953	1364	65
954	1366	64
955	1367	62
956	1369	61
957	1370	60
958	1371	58
959	1372	57
960	1374	55
961	1375	54
962	1376	52
963	1377	51
964	1379	50
965	1380	48
966	1381	47
967	1382	45
968	1384	44
969	1385	42
970	1386	41
971	1388	39
972	1389	38
973	1390	37
974	1392	35
975	1393	34
976	1394	32
977	1396	31
978	1397	29
979	1398	28
980	1399	27
981	1401	25
982	1402	24
983	1403	22
984	1405	21
985	1406	19
986	1407	18
987	1409	17
988	1410	15
989	1411	14
990	1413	12
991	1414	11
992	1415	9
993	1417	8
994	1418	7
995	1419	5
996	1420	4
997	1422	2
998	1423	1
999	1424	0
