iter	Passed	Remaining
470	718	806
471	719	805
472	721	803
473	765	849
474	766	847
475	768	845
476	769	843
477	771	842
478	775	843
479	780	845
480	782	844
481	783	842
482	785	840
483	786	838
484	787	836
485	789	834
486	790	832
487	791	830
488	793	828
489	794	826
490	795	824
491	797	823
492	798	821
493	799	819
494	801	817
495	802	815
496	803	813
497	805	811
498	806	809
499	807	807
500	809	805
501	810	804
502	811	802
503	813	800
504	814	798
505	815	796
506	817	794
507	818	792
508	819	790
509	820	788
510	821	786
511	823	784
512	824	782
513	825	780
514	827	778
515	828	777
516	830	775
517	831	773
518	832	771
519	834	769
520	835	768
521	836	766
522	837	764
523	839	762
524	840	760
525	842	758
526	843	756
527	844	755
528	845	753
529	847	751
530	848	749
531	849	747
532	851	745
533	852	744
534	853	742
535	854	739
536	855	737
537	857	736
538	858	734
539	859	732
540	861	730
541	862	728
542	863	726
543	865	725
544	866	723
545	867	721
546	869	719
547	870	717
548	871	716
549	872	713
550	873	712
551	875	710
552	876	708
553	878	706
554	879	705
555	880	703
556	882	701
557	883	699
558	884	698
559	886	696
560	887	694
561	889	692
562	890	691
563	891	689
564	893	687
565	894	685
566	895	684
567	897	682
568	898	680
569	899	678
570	901	677
571	902	675
572	904	673
573	905	672
574	906	670
575	908	668
576	909	666
577	910	665
578	912	663
579	913	661
580	915	660
581	916	658
582	918	656
583	919	655
584	920	653
585	922	651
586	923	649
587	925	648
588	925	645
589	926	644
590	929	643
591	930	641
592	932	639
593	933	638
594	934	636
595	936	634
596	937	633
597	939	631
598	940	629
599	941	627
600	943	626
601	944	624
602	946	622
603	947	621
604	948	619
605	950	617
606	951	615
607	952	614
608	954	612
609	955	610
610	956	609
611	958	607
612	959	605
613	960	603
614	961	602
615	963	600
616	964	598
617	965	597
618	967	595
619	968	593
620	970	592
621	971	590
622	972	588
623	974	586
624	975	585
625	976	583
626	978	581
627	979	580
628	980	578
629	982	576
630	983	575
631	984	573
632	986	571
633	987	570
634	988	568
635	990	566
636	991	565
637	992	563
638	994	561
639	994	559
640	996	557
641	997	556
642	998	554
643	1000	552
644	1001	551
645	1002	549
646	1004	547
647	1005	546
648	1006	544
649	1008	542
650	1009	541
651	1010	539
652	1012	537
653	1013	536
654	1015	534
655	1016	532
656	1017	531
657	1018	529
658	1019	527
659	1021	525
660	1022	524
661	1023	522
662	1024	520
663	1026	519
664	1027	517
665	1029	516
666	1030	514
667	1031	512
668	1033	511
669	1034	509
670	1035	507
671	1037	506
672	1038	504
673	1039	502
674	1041	501
675	1042	499
676	1044	498
677	1045	496
678	1046	494
679	1048	493
680	1049	491
681	1050	489
682	1052	488
683	1053	486
684	1054	485
685	1056	483
686	1057	481
687	1058	480
688	1060	478
689	1061	476
690	1062	475
691	1064	473
692	1065	472
693	1067	470
694	1068	468
695	1069	467
696	1071	465
697	1072	463
698	1073	462
699	1075	460
700	1076	459
701	1077	457
702	1078	455
703	1080	454
704	1081	452
705	1083	451
706	1084	449
707	1086	447
708	1087	446
709	1088	444
710	1090	443
711	1090	441
712	1091	439
713	1093	437
714	1094	436
715	1095	434
716	1097	433
717	1098	431
718	1099	429
719	1101	428
720	1102	426
721	1103	424
722	1105	423
723	1106	421
724	1107	420
725	1109	418
726	1110	417
727	1111	415
728	1113	413
729	1114	412
730	1115	410
731	1117	409
732	1118	407
733	1119	405
734	1121	404
735	1122	402
736	1123	401
737	1125	399
738	1126	397
739	1127	396
740	1129	394
741	1130	393
742	1131	391
743	1133	389
744	1134	388
745	1135	386
746	1137	385
747	1138	383
748	1139	382
749	1141	380
750	1142	378
751	1144	377
752	1145	375
753	1146	374
754	1148	372
755	1149	371
756	1151	369
757	1152	368
758	1154	366
759	1155	364
760	1156	363
761	1158	361
762	1159	360
763	1161	358
764	1162	357
765	1164	355
766	1165	354
767	1167	352
768	1168	351
769	1169	349
770	1171	348
771	1172	346
772	1173	344
773	1175	343
774	1176	341
775	1178	340
776	1179	338
777	1181	337
778	1183	335
779	1184	334
780	1185	332
781	1187	331
782	1188	329
783	1190	327
784	1191	326
785	1192	324
786	1194	323
787	1195	321
788	1197	320
789	1198	318
790	1199	317
791	1201	315
792	1202	313
793	1204	312
794	1205	310
795	1206	309
796	1208	307
797	1209	306
798	1210	304
799	1212	303
800	1213	301
801	1214	299
802	1216	298
803	1217	296
804	1218	295
805	1220	293
806	1220	291
807	1222	290
808	1223	288
809	1224	287
810	1226	285
811	1227	284
812	1228	282
813	1229	280
814	1230	279
815	1231	277
816	1233	276
817	1234	274
818	1235	273
819	1237	271
820	1238	270
821	1239	268
822	1241	266
823	1242	265
824	1243	263
825	1245	262
826	1246	260
827	1248	259
828	1249	257
829	1250	256
830	1251	254
831	1253	253
832	1254	251
833	1255	249
834	1257	248
835	1258	246
836	1259	245
837	1261	243
838	1262	242
839	1263	240
840	1265	239
841	1266	237
842	1267	236
843	1269	234
844	1270	233
845	1271	231
846	1273	229
847	1274	228
848	1275	226
849	1277	225
850	1278	223
851	1279	222
852	1280	220
853	1282	219
854	1283	217
855	1285	216
856	1286	214
857	1287	213
858	1289	211
859	1290	210
860	1292	208
861	1293	207
862	1294	205
863	1295	203
864	1297	202
865	1298	200
866	1299	199
867	1301	197
868	1302	196
869	1304	194
870	1305	193
871	1306	191
872	1308	190
873	1309	188
874	1310	187
875	1312	185
876	1313	184
877	1314	182
878	1315	181
879	1317	179
880	1318	178
881	1320	176
882	1321	175
883	1322	173
884	1323	172
885	1325	170
886	1326	169
887	1327	167
888	1329	165
889	1330	164
890	1332	162
891	1333	161
892	1334	159
893	1335	158
894	1337	156
895	1338	155
896	1339	153
897	1341	152
898	1342	150
899	1343	149
900	1345	147
901	1346	146
902	1348	144
903	1349	143
904	1350	141
905	1352	140
906	1353	138
907	1354	137
908	1355	135
909	1357	134
910	1358	132
911	1359	131
912	1361	129
913	1362	128
914	1364	126
915	1365	125
916	1366	123
917	1368	122
918	1369	120
919	1371	119
920	1372	117
921	1374	116
922	1375	114
923	1377	113
924	1378	111
925	1379	110
926	1381	108
927	1382	107
928	1383	105
929	1385	104
930	1386	102
931	1387	101
932	1389	99
933	1390	98
934	1392	96
935	1393	95
936	1394	93
937	1396	92
938	1397	90
939	1398	89
940	1400	87
941	1401	86
942	1402	84
943	1404	83
944	1405	81
945	1407	80
946	1408	78
947	1409	77
948	1411	75
949	1412	74
950	1413	72
951	1415	71
952	1416	69
953	1417	68
954	1419	66
955	1420	65
956	1421	63
957	1423	62
958	1424	60
959	1425	59
960	1426	57
961	1427	56
962	1429	54
963	1430	53
964	1432	51
965	1433	50
966	1434	48
967	1435	47
968	1437	45
969	1438	44
970	1439	43
971	1441	41
972	1442	40
973	1443	38
974	1445	37
975	1446	35
976	1448	34
977	1449	32
978	1450	31
979	1452	29
980	1453	28
981	1454	26
982	1456	25
983	1457	23
984	1458	22
985	1460	20
986	1461	19
987	1463	17
988	1464	16
989	1465	14
990	1467	13
991	1468	11
992	1469	10
993	1471	8
994	1472	7
995	1474	5
996	1475	4
997	1476	2
998	1478	1
999	1479	0
