iter	MultiClass
0	2.202107824
1	1.921558032
2	1.680666958
3	1.496644207
4	1.353298433
5	1.231508222
6	1.134240337
7	1.043721543
8	0.9684106555
9	0.8961300727
10	0.8387582034
11	0.7855664739
12	0.7347521099
13	0.6927711709
14	0.6541500703
15	0.6186491901
16	0.5832967643
17	0.5573227822
18	0.527760637
19	0.5056457166
20	0.4784355399
21	0.4554846016
22	0.4335817915
23	0.4126225951
24	0.3953914806
25	0.378023922
26	0.3628853092
27	0.3486317406
28	0.3334058517
29	0.3227887599
30	0.3094748074
31	0.2974418221
32	0.2867363121
33	0.2780204985
34	0.2704833524
35	0.2610457648
36	0.2532527091
37	0.2451898176
38	0.237543263
39	0.2314863346
40	0.2249205187
41	0.2183566405
42	0.2115578204
43	0.2053345132
44	0.1996649364
45	0.1949303666
46	0.1902145687
47	0.1860349027
48	0.1816703958
49	0.177509553
50	0.1734309314
51	0.1703383685
52	0.1657679024
53	0.1627416583
54	0.1584733954
55	0.1557015751
56	0.1529785483
57	0.1497120253
58	0.1465084708
59	0.1438644596
60	0.1414744576
61	0.1385756419
62	0.1360329553
63	0.1333273644
64	0.130568585
65	0.1277107569
66	0.1259560588
67	0.1237187714
68	0.1216976389
69	0.1192275215
70	0.1167453526
71	0.1144891995
72	0.1134004261
73	0.1115252122
74	0.1097145812
75	0.1076356628
76	0.1055890954
77	0.1043774482
78	0.10296646
79	0.1012595503
80	0.1002538684
81	0.0987560136
82	0.09699953585
83	0.09581893468
84	0.09401792762
85	0.09301644981
86	0.09125607795
87	0.09074928075
88	0.08947491769
89	0.08843316117
90	0.08704024608
91	0.08568020019
92	0.08463850876
93	0.0838252466
94	0.08292548725
95	0.0821376875
96	0.08093538073
97	0.07969339181
98	0.07900089892
99	0.07784918964
100	0.07690667906
101	0.07626114969
102	0.07505034959
103	0.07417985343
104	0.07307571025
105	0.07208457071
106	0.07105483157
107	0.07008539367
108	0.06914871101
109	0.0685577865
110	0.06764850363
111	0.06710142775
112	0.06644313666
113	0.06577047443
114	0.06496366509
115	0.06403439218
116	0.06334226415
117	0.06281560556
118	0.06231649801
119	0.0618482787
120	0.0611952255
121	0.06065430234
122	0.06028721996
123	0.0595317928
124	0.05897152615
125	0.05814811463
126	0.05773925474
127	0.05693480167
128	0.05637123063
129	0.05604543724
130	0.05569587212
131	0.05537023629
132	0.05501807884
133	0.0543162573
134	0.05395167567
135	0.05360415835
136	0.05325551533
137	0.05293319594
138	0.05223612397
139	0.05175289253
140	0.05135384547
141	0.05101765363
142	0.05065545989
143	0.05034533771
144	0.04980925669
145	0.04924722022
146	0.04878836107
147	0.04849343594
148	0.0481719644
149	0.04790495187
150	0.04750436831
151	0.04718781699
152	0.04691424726
153	0.04627866214
154	0.04586650346
155	0.04539975692
156	0.04508474176
157	0.04460360232
158	0.04424162778
159	0.04398850619
160	0.0436373342
161	0.04340069418
162	0.04315841886
163	0.04283266154
164	0.04246600497
165	0.04218876038
166	0.04168046668
167	0.04124643044
168	0.04103552222
169	0.04068213053
